ae_loss,e_real,e_rec,e_sample,g_rec,g_sample,epoch
568.594,58.112,61.029,18.996,84.385,30.20,1
397.433,65.311,68.983,57.187,79.662,93.26,2
341.093,66.997,87.155,118.792,80.334,104.97,3
271.010,89.606,104.762,110.931,99.631,101.62,4
269.357,75.298,98.971,61.444,105.111,62.71,5
243.003,72.270,116.235,83.155,107.208,76.78,6
295.163,71.153,92.358,86.867,102.333,92.88,7
245.941,83.306,125.265,80.883,109.005,76.16,8
240.467,63.641,64.040,65.302,65.934,66.91,9
243.746,66.421,108.876,84.400,123.659,99.27,10
215.198,73.142,123.587,76.000,124.308,75.56,11
217.688,67.167,86.455,67.671,88.302,65.44,12
204.408,67.111,86.377,65.550,90.510,65.50,13
223.083,79.459,114.935,71.118,108.162,70.13,14
217.000,72.177,88.142,77.591,102.412,81.92,15
199.769,80.340,121.346,79.243,97.818,79.55,16
197.669,76.628,97.950,91.648,101.960,92.75,17
221.373,78.586,122.578,62.930,100.053,59.08,18
194.131,77.620,107.708,80.613,112.052,84.09,19
193.977,76.834,132.907,89.593,121.742,88.45,20
212.364,82.493,118.754,70.633,115.513,69.61,21
178.681,94.434,158.583,95.602,160.750,96.60,22
181.519,83.590,158.315,77.518,143.257,72.35,23
188.239,89.836,179.881,98.409,151.876,95.00,24
204.030,75.793,121.902,88.064,116.403,87.95,25
179.891,72.738,114.853,64.731,118.136,64.48,26
178.408,73.767,107.995,76.309,153.883,94.70,27
178.968,73.745,116.134,77.060,110.023,79.79,28
167.762,75.093,127.964,69.403,129.880,69.49,29
169.977,78.452,128.781,75.235,112.185,74.82,30
187.779,82.779,158.630,72.540,161.916,73.92,31
163.822,76.766,138.233,82.201,132.641,80.16,32
184.942,74.336,104.090,73.898,111.198,74.33,33
176.129,82.510,127.279,78.689,99.654,79.16,34
170.465,79.999,96.023,85.144,99.913,85.49,35
193.467,77.649,101.606,83.267,102.783,85.19,36
188.596,69.786,91.523,71.698,100.196,75.74,37
172.020,85.138,166.493,93.318,160.183,90.04,38
170.961,74.017,106.453,75.722,140.721,79.17,39
187.720,75.421,114.659,73.933,111.247,73.63,40
167.108,82.570,118.759,81.558,115.239,81.85,41
176.065,81.925,108.799,84.718,106.886,85.67,42
174.147,78.438,104.451,81.857,108.830,82.24,43
153.706,85.262,93.525,90.539,105.120,91.84,44
169.917,78.050,127.379,91.555,144.347,102.74,45
166.292,82.851,128.402,86.626,125.860,87.19,46
160.419,84.645,116.085,76.771,121.359,77.79,47
157.238,83.596,139.973,88.633,129.702,91.67,48
155.498,82.300,100.258,90.563,103.690,92.85,49
155.370,73.514,108.783,68.351,101.678,67.30,50
149.062,75.378,102.067,76.471,131.837,80.90,51
146.722,80.665,124.300,80.562,121.109,81.13,52
154.927,85.883,140.441,86.739,136.073,86.07,53
160.604,80.191,116.841,78.590,109.681,77.27,54
163.915,77.540,99.861,78.661,111.189,79.51,55
146.158,76.327,101.072,88.067,112.798,89.52,56
158.527,83.233,117.573,81.600,113.304,80.59,57
162.069,75.234,97.871,81.315,97.263,84.34,58
159.243,79.502,116.617,71.864,123.373,73.69,59
151.699,81.959,90.884,87.462,84.399,89.06,60
163.800,78.532,107.385,77.687,113.800,78.10,61
169.441,79.536,87.745,84.696,92.748,87.94,62
157.892,77.555,119.034,86.425,108.669,86.29,63
171.693,87.838,123.280,89.589,110.254,88.01,64
160.608,79.210,99.512,77.875,122.541,81.13,65
157.425,80.389,95.634,90.021,104.036,91.40,66
168.526,88.664,123.024,85.673,118.888,87.06,67
167.431,79.540,96.640,92.426,102.495,95.40,68
165.870,78.904,95.256,69.318,104.303,70.50,69
140.176,92.510,87.700,96.210,86.284,94.14,70
157.523,80.942,100.150,88.291,99.824,90.00,71
144.206,79.076,98.075,76.840,106.188,78.96,72
148.808,80.784,98.318,76.317,109.157,79.56,73
141.375,80.719,119.855,95.835,117.507,93.46,74
167.223,79.717,88.979,76.615,86.237,79.28,75
149.953,85.200,121.414,81.829,114.537,81.30,76
143.573,76.002,121.142,79.245,118.075,79.39,77
149.593,85.828,135.901,91.879,144.266,91.84,78
146.998,82.120,108.087,83.974,125.613,88.03,79
148.899,77.294,102.932,84.848,116.211,86.34,80
147.034,78.229,116.195,95.374,110.024,95.34,81
155.061,78.474,122.790,79.792,115.608,80.11,82
153.425,88.365,153.854,106.864,147.284,102.55,83
160.666,85.553,106.974,93.749,122.729,95.61,84
171.435,72.947,93.871,73.679,99.645,74.52,85
158.040,76.747,123.473,81.568,128.237,82.93,86
155.612,76.731,121.617,77.512,125.864,77.55,87
147.563,90.142,110.275,99.805,110.681,98.47,88
155.825,83.417,104.354,78.824,104.068,78.36,89
140.513,85.181,128.946,86.770,126.738,85.84,90
148.600,85.532,120.165,91.403,111.635,91.58,91
149.271,86.058,119.246,83.968,112.477,85.76,92
137.719,91.313,125.770,98.690,126.463,95.97,93
146.366,83.902,110.215,89.636,102.875,91.16,94
152.167,81.599,111.115,79.659,103.517,78.93,95
137.664,97.665,83.865,105.077,81.091,99.56,96
162.790,85.395,97.038,86.589,104.869,91.53,97
141.078,85.210,117.195,85.331,111.574,86.37,98
167.426,82.956,106.613,83.991,113.950,84.77,99
134.869,87.752,140.588,89.430,134.536,88.34,100
147.636,82.215,120.620,85.392,119.455,86.46,101
139.735,88.490,102.129,88.081,116.393,89.96,102
147.621,88.182,112.749,98.508,112.515,99.31,103
149.477,83.085,109.632,88.217,124.989,88.24,104
147.782,89.753,139.932,86.271,111.132,84.37,105
149.148,82.632,90.658,83.139,94.268,82.56,106
153.165,94.382,126.784,109.355,131.564,107.63,107
147.358,99.640,152.598,89.983,139.271,87.28,108
130.031,93.835,135.275,85.121,124.357,86.58,109
158.625,86.070,97.852,74.894,109.503,75.46,110
155.580,86.715,102.746,90.748,102.969,94.32,111
151.105,84.490,124.182,96.180,116.090,90.56,112
153.101,81.789,128.779,87.449,135.048,92.99,113
148.647,80.464,127.299,87.411,126.919,88.56,114
149.497,89.433,98.262,107.493,102.428,110.48,115
140.368,72.759,98.605,69.022,111.128,71.90,116
138.124,83.867,128.569,85.094,118.066,84.50,117
147.376,88.948,114.652,95.737,114.103,98.63,118
151.658,96.181,158.093,105.766,137.918,105.41,119
146.858,76.073,101.806,86.384,112.049,89.98,120
127.228,92.136,155.266,104.795,139.012,98.83,121
139.804,83.163,104.801,88.035,116.606,85.53,122
145.343,88.135,117.267,89.750,118.714,90.39,123
138.113,97.711,137.221,106.275,117.484,104.52,124
155.888,82.029,96.526,75.269,97.750,76.67,125
133.739,79.175,99.226,80.336,109.288,82.38,126
151.234,78.036,101.263,78.995,101.931,81.02,127
147.059,80.396,84.441,83.015,88.761,83.39,128
129.623,99.846,133.592,109.810,126.511,106.69,129
136.339,83.905,115.308,86.498,102.156,88.22,130
147.611,78.756,103.316,88.730,114.445,87.76,131
139.862,95.000,143.088,113.950,125.660,101.19,132
148.594,91.033,127.965,107.084,127.517,109.93,133
156.273,73.788,88.513,80.545,87.926,82.96,134
148.880,85.682,101.006,99.049,110.707,105.38,135
144.079,86.188,121.497,87.089,112.004,87.27,136
146.728,76.107,125.221,83.348,133.968,87.31,137
148.548,77.606,110.236,83.518,120.711,89.01,138
143.054,83.624,111.019,90.920,100.011,91.19,139
143.246,91.007,109.073,111.351,106.996,103.73,140
138.875,89.517,122.993,119.655,104.227,107.79,141
168.276,84.225,109.021,86.600,130.393,89.35,142
147.096,82.641,108.247,98.788,116.163,104.24,143
151.243,85.274,143.663,106.799,136.096,107.89,144
144.629,82.245,104.846,94.770,112.933,102.72,145
166.312,86.006,130.807,88.399,124.992,87.79,146
145.996,95.017,143.939,108.403,142.938,114.26,147
144.797,83.717,145.622,85.194,153.552,89.01,148
150.413,86.317,109.067,103.100,121.625,107.72,149
144.402,82.943,129.983,98.800,126.892,100.12,150
147.248,84.810,137.249,114.937,132.429,110.95,151
159.164,75.832,110.117,78.515,106.630,76.86,152
154.096,79.978,92.806,80.420,88.467,81.74,153
156.703,83.910,99.615,88.030,102.539,92.41,154
147.231,78.278,104.535,79.841,102.879,80.66,155
157.859,92.388,112.026,108.336,111.201,109.03,156
158.991,87.442,138.893,103.950,106.413,98.44,157
147.409,84.841,107.783,99.975,114.368,103.43,158
157.340,89.242,165.047,96.086,160.723,91.99,159
144.777,95.980,142.016,105.703,146.984,109.44,160
149.101,79.439,121.890,88.041,116.606,90.83,161
161.397,82.469,106.070,82.955,110.213,83.77,162
150.706,87.031,109.171,107.771,115.053,117.83,163
